epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,1381.6,0.50089,0.57909,1.01287,0.54894,0.73581,0.66553,0.53531,1.36045,2.56368,3.00545,0.000247625,0.000247625,0.000247625
83,1395.49,0.44761,0.55655,1.01524,0.54894,0.73581,0.66553,0.53531,1.36045,2.56368,3.00545,0.00023525,0.00023525,0.00023525
84,1409.89,0.50999,0.6144,1.07596,0.62014,0.67709,0.69953,0.5146,1.4713,2.53416,3.01625,0.000222875,0.000222875,0.000222875
85,1423.62,0.54149,0.67203,1.10418,0.62014,0.67709,0.69953,0.5146,1.4713,2.53416,3.01625,0.0002105,0.0002105,0.0002105
86,1437.7,0.41234,0.55695,0.97939,0.62014,0.67709,0.69953,0.5146,1.4713,2.53416,3.01625,0.000198125,0.000198125,0.000198125
87,1451.6,0.46519,0.68008,0.9429,0.62284,0.70319,0.69964,0.52307,1.45327,2.4589,2.89671,0.00018575,0.00018575,0.00018575
88,1465.38,0.46108,0.50465,1.02994,0.62284,0.70319,0.69964,0.52307,1.45327,2.4589,2.89671,0.000173375,0.000173375,0.000173375
89,1479.82,0.46593,0.53074,1.05762,0.62506,0.70377,0.6875,0.49414,1.50008,2.50937,2.91664,0.000161,0.000161,0.000161
90,1495.32,0.44485,0.54395,1.05481,0.62506,0.70377,0.6875,0.49414,1.50008,2.50937,2.91664,0.000148625,0.000148625,0.000148625
91,1509.37,0.42572,0.91668,1.02141,0.62506,0.70377,0.6875,0.49414,1.50008,2.50937,2.91664,0.00013625,0.00013625,0.00013625
92,1523.16,0.3558,0.72116,1.00875,0.53452,0.60054,0.65068,0.45386,1.67834,2.53898,3.19092,0.000123875,0.000123875,0.000123875
93,1536.93,0.45332,0.87169,1.16205,0.53452,0.60054,0.65068,0.45386,1.67834,2.53898,3.19092,0.0001115,0.0001115,0.0001115
94,1550.7,0.36059,0.64255,0.98042,0.53452,0.60054,0.65068,0.45386,1.67834,2.53898,3.19092,9.9125e-05,9.9125e-05,9.9125e-05
95,1564.43,0.36707,0.59113,1.07767,0.37313,0.625,0.5989,0.39199,1.69653,2.53869,3.28433,8.675e-05,8.675e-05,8.675e-05
96,1578.24,0.3846,0.67193,1.01846,0.37313,0.625,0.5989,0.39199,1.69653,2.53869,3.28433,7.4375e-05,7.4375e-05,7.4375e-05
97,1591.92,0.36143,0.57613,0.969,0.38587,0.625,0.59243,0.41255,1.66485,2.44716,3.18071,6.2e-05,6.2e-05,6.2e-05
98,1605.56,0.30679,0.50493,0.91433,0.38587,0.625,0.59243,0.41255,1.66485,2.44716,3.18071,4.9625e-05,4.9625e-05,4.9625e-05
99,1619.26,0.27327,0.90592,0.8829,0.38587,0.625,0.59243,0.41255,1.66485,2.44716,3.18071,3.725e-05,3.725e-05,3.725e-05
100,1632.89,0.3059,0.56293,0.98184,0.52924,0.71518,0.604,0.41081,1.80249,2.48725,3.29605,2.4875e-05,2.4875e-05,2.4875e-05
